dimGraph;timeInt;
1000;0.000142;
1000;0.000098;
1000;0.000094;
1000;0.000091;
1000;0.000112;
1000;0.000091;
1000;0.000091;
1000;0.000164;
1000;0.000091;
1000;0.000092;
1000;0.000092;
1000;0.000090;
1000;0.000091;
1000;0.000090;
1000;0.000090;
1000;0.000091;
1000;0.000094;
1000;0.000090;
1000;0.000093;
1000;0.000089;
1000;0.000085;
1000;0.000140;
1000;0.000090;
1000;0.000090;
1000;0.000174;
1000;0.000090;
1000;0.000084;
1000;0.000099;
1000;0.000094;
1000;0.000085;
1000;0.000094;
1000;0.000091;
1000;0.000092;
1000;0.000095;
1000;0.000090;
1000;0.000091;
1000;0.000099;
1000;0.000090;
1000;0.000092;
1000;0.000091;
1000;0.000090;
1000;0.000092;
1000;0.000091;
1000;0.000142;
1000;0.000090;
1000;0.000093;
1000;0.000110;
1000;0.000091;
1000;0.000092;
1000;0.000096;
