dimGraph;timeInt;
1000;0.000609;
1000;0.000114;
1000;0.000128;
1000;0.000118;
1000;0.000099;
1000;0.000145;
1000;0.000103;
1000;0.000102;
1000;0.000102;
1000;0.000239;
1000;0.000104;
1000;0.000103;
1000;0.000103;
1000;0.000098;
1000;0.000102;
1000;0.000098;
1000;0.000115;
1000;0.000117;
1000;0.000103;
1000;0.000102;
1000;0.000103;
1000;0.000106;
1000;0.000102;
1000;0.000093;
1000;0.000117;
1000;0.000102;
1000;0.000259;
1000;0.000115;
1000;0.000106;
1000;0.000103;
1000;0.000098;
1000;0.000108;
1000;0.000258;
1000;0.000103;
1000;0.000099;
1000;0.000194;
1000;0.000103;
1000;0.000102;
1000;0.000100;
1000;0.000114;
1000;0.000101;
1000;0.000099;
1000;0.000110;
1000;0.000105;
1000;0.000100;
1000;0.000101;
1000;0.000108;
1000;0.000102;
1000;0.000107;
1000;0.000107;
